genus,AD.BD,AD.CD,EA.CD,Dx.CD,SH.ACR,EAD,beta,gamma,class,classdigit
59,42,38.2,85,13.9,55.7,104,44,,Homo,5
59,43.96,39.2,62.64,12.97,63.9,120,48,,Homo,5
59,45.45,39.8,69.7,12.42,68.1,109,52,,Homo,5
59,50,40,72.92,13.23,66.7,106,45,,Homo,5
59,37,29.8,80,12.6,65.9,111,52,,Homo,5
59,37,34.6,83,13,69.8,106,45,,Homo,5
59,42.86,36.4,78.57,12.86,73.3,111,47,,Homo,5
59,42.45,36.6,81.13,12.93,55,108,50,,Homo,5
59,52.34,59,76.64,11.96,86.7,111,45,,Homo,5
59,38.95,34.9,84.21,13.05,69.7,103,49,,Homo,5
59,49.4,41,74.7,12.89,76.7,107,45,,Homo,5
59,31.13,29.7,78.3,11.79,75.6,121,50,,Homo,5
